PC_Timestamp,Seq_Num,Packet_Type,time_ms,engine_count,gear_count,engine_rpm,secondary_rpm,filtered_engine_rpm,filtered_secondary_rpm,target_rpm,engine_rpm_error,ecvt_velocity_command,ecvt_velocity,ecvt_pos,ecvt_iq,ecvt_bus_voltage,ecvt_bus_current,ecvt_total_charge_used,ecvt_total_power_used,ecvt_inbound_limit_switch,ecvt_outbound_limit_switch,ecvt_engage_limit_switch,centerlock_velocity_command,centerlock_velocity,centerlock_pos,centerlock_iq,centerlock_bus_voltage,centerlock_bus_current,centerlock_total_charge_used,centerlock_total_power_used,centerlock_inbound_limit_switch,centerlock_outbound_limit_switch
1783460126.292895,0,1,0.0,0.0,0.0,2994.956838,1009.213055,2999.394821,910.921306,3000.0,-0.605179,-0.007262,-0.061613,-4.9e-05,0.106895,47.993621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08308,8.3e-05,-0.021387,47.989152,0.004635,0.0,0.002224,1.0,0.0
1783460126.302895,1,1,10.0,12.11448,8.649193,3028.620041,1037.903167,3002.901847,923.619492,3000.0,2.901847,0.034822,0.356872,0.000236,0.024237,47.964655,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.061586,0.000145,0.104886,48.002083,0.0,0.0,0.002224,1.0,0.0
1783460126.312895,2,1,20.0,24.475535,16.589903,3059.441862,995.394197,3009.686649,930.796962,3000.0,9.686649,0.11624,-0.060822,0.000188,0.099127,48.046812,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.09415,0.000239,0.019857,48.039116,0.0,0.0,0.002224,1.0,0.0
1783460126.322895,3,1,30.0,36.969133,24.971129,3080.761116,998.845151,3018.215585,937.601781,3000.0,18.215585,0.218587,-1.130731,-0.000717,-0.042944,47.958922,0.09194,0.0,0.044093,1.0,0.0,0.0,0.0,0.166066,0.000405,-0.097526,48.042368,0.0,0.0,0.002224,1.0,0.0
1783460126.332895,4,1,40.0,49.239271,34.176637,3077.454454,1025.2991,3025.324249,946.371513,3000.0,25.324249,0.303891,0.306401,-0.000472,0.189651,48.038203,0.05838,0.0,0.072138,1.0,0.0,0.0,0.0,0.162487,0.000567,0.038279,47.968651,0.0,0.0,0.002224,1.0,0.0
1783460126.342895,5,1,50.0,61.660862,43.499131,3083.043089,1043.979149,3032.25051,956.132277,3000.0,32.25051,0.387006,0.192287,-0.000318,0.435504,47.966888,0.0,0.0,0.072138,1.0,0.0,0.0,0.0,0.192118,0.000759,0.113748,48.025285,0.033433,0.0,0.018281,1.0,0.0
1783460126.352895,6,1,60.0,76.025237,51.880261,3167.718198,1037.605228,3048.506633,964.279572,3000.0,48.506633,0.58208,-0.234174,-0.000505,0.048246,48.057067,0.0,0.0,0.072138,1.0,0.0,0.0,0.0,0.008383,0.000768,0.020259,47.98422,0.028945,0.0,0.03217,1.0,0.0
1783460126.362895,7,1,70.0,88.356449,63.307982,3155.587471,1085.27969,3061.356333,976.379584,3000.0,61.356333,0.736276,0.91373,0.000226,0.07057,47.982902,0.007101,0.0,0.075545,1.0,0.0,1.0,0.0,0.238068,0.001006,-0.045347,47.996487,0.029972,0.0,0.046555,1.0,0.0
1783460126.372895,8,1,80.0,100.046305,69.485431,3126.447032,1042.281467,3069.167217,982.969772,3000.0,69.167217,0.830007,-0.240038,3.4e-05,0.02023,47.984174,0.116262,1e-06,0.131332,1.0,0.0,1.0,0.0,0.298373,0.001304,-0.001477,48.013068,0.006719,0.0,0.049781,1.0,0.0
1783460126.382895,9,1,90.0,115.386514,80.068786,3205.180935,1067.583808,3085.488863,991.431175,3000.0,85.488863,1.025866,0.978057,0.000816,0.074049,48.059299,0.13307,1e-06,0.195285,1.0,0.0,1.0,0.0,0.306735,0.001611,-0.002393,48.097655,0.0,0.0,0.049781,1.0,0.0
1783460126.392895,10,1,100.0,129.490562,88.113518,3237.264051,1057.362211,3103.701886,998.024279,3000.0,103.701886,1.244423,0.762292,0.001426,0.104506,48.008146,0.238308,2e-06,0.309692,1.0,0.0,1.0,0.0,0.204094,0.001815,0.055111,47.881206,0.028439,0.0,0.063398,1.0,0.0
1783460126.402894,11,1,110.0,141.416799,96.159868,3214.018167,1049.016739,3116.939839,1003.123525,3000.0,116.939839,1.403278,0.836996,0.002095,0.308375,48.103509,0.05592,2e-06,0.336592,1.0,0.0,1.0,0.0,-0.106951,0.001708,0.108943,47.977692,0.0,0.0,0.063398,1.0,0.0
1783460126.412894,12,1,120.0,154.067487,104.002515,3209.739314,1040.025151,3128.075776,1006.813688,3000.0,128.075776,1.536909,1.370238,0.003192,0.156677,48.063092,0.153945,2e-06,0.410583,1.0,0.0,1.0,0.0,0.570858,0.002279,0.022467,48.068284,0.0,0.0,0.063398,1.0,0.0
1783460126.422895,13,1,130.0,167.046924,116.074323,3212.440849,1071.455294,3138.199585,1013.277848,3000.0,138.199585,1.658395,2.232744,0.004978,0.11271,48.069929,0.213148,3e-06,0.513043,1.0,0.0,1.0,0.0,0.383387,0.002662,0.056991,48.002604,0.0,0.0,0.063398,1.0,0.0
1783460126.432895,14,1,140.0,178.193967,125.094038,3182.035122,1072.234614,3143.45985,1019.173525,3000.0,143.45985,1.721518,1.315797,0.00603,0.681774,47.991412,0.197783,4e-06,0.607962,1.0,0.0,1.0,0.0,-0.39225,0.00227,-0.031637,48.013057,0.032958,0.0,0.079222,1.0,0.0
1783460126.442895,15,1,150.0,197.039727,133.850037,3283.995443,1070.800294,3160.324121,1024.336202,3000.0,160.324121,1.923889,1.018967,0.006846,0.491933,48.049376,0.231722,4e-06,0.719302,1.0,0.0,1.0,0.0,-0.175072,0.002095,0.090671,48.004395,0.027993,1e-06,0.09266,1.0,0.0
1783460126.452895,16,1,160.0,210.180669,144.697605,3284.072958,1085.232037,3175.173981,1030.425785,3000.0,175.173981,2.102088,1.86697,0.008339,0.785379,48.037276,0.186532,5e-06,0.808907,1.0,0.0,1.0,0.0,0.027992,0.002123,0.118621,48.005936,0.020775,1e-06,0.102633,1.0,0.0
1783460126.462895,17,1,170.0,223.453876,151.227707,3286.086409,1067.489699,3188.483472,1034.132177,3000.0,188.483472,2.261802,0.991392,0.009132,0.54251,48.03814,0.177539,5e-06,0.894194,1.0,0.0,1.0,0.0,0.217772,0.002341,0.048605,47.95025,0.020729,1e-06,0.112573,1.0,0.0
1783460126.472895,18,1,180.0,233.333193,157.839488,3240.738787,1052.263253,3194.75411,1035.945284,3000.0,194.75411,2.337049,2.142856,0.010847,0.507369,47.99095,0.275541,6e-06,1.026428,1.0,0.0,1.0,0.0,0.122023,0.002463,-0.046203,48.020018,0.040603,1e-06,0.13207,1.0,0.0
1783460126.482895,19,1,190.0,245.075415,172.239212,3224.676507,1087.8266,3198.344798,1041.133416,3000.0,198.344798,2.380138,1.953091,0.012409,0.863532,47.936659,0.293636,7e-06,1.167188,1.0,0.0,1.0,0.0,-0.076561,0.002386,-0.008016,48.095079,0.0,1e-06,0.13207,1.0,0.0
1783460126.492895,20,1,200.0,266.302011,179.133,3328.775133,1074.798001,3213.996438,1044.499874,3000.0,213.996438,2.567957,2.280981,0.014234,0.491323,47.996799,0.261794,7e-06,1.292841,1.0,0.0,1.0,0.0,-0.070643,0.002316,0.016199,47.894749,0.080099,1e-06,0.170433,1.0,0.0
1783460126.502895,21,1,210.0,272.495372,195.2451,3243.992528,1115.686286,3217.595969,1051.618516,3000.0,217.595969,2.611152,1.637588,0.015544,0.618334,48.191138,0.191537,8e-06,1.385144,1.0,0.0,1.0,0.0,-0.373825,0.001942,-0.043721,48.023624,0.027734,1e-06,0.183752,1.0,0.0
1783460126.512895,22,1,220.0,289.814799,198.186173,3293.349993,1081.015487,3226.686452,1054.558213,3000.0,226.686452,2.720237,1.429469,0.016687,0.533198,48.096459,0.309277,9e-06,1.533896,1.0,0.0,1.0,0.0,-0.489235,0.001453,-0.002804,48.069908,0.085062,1e-06,0.224641,1.0,0.0
1783460126.522895,23,1,230.0,300.393244,209.358952,3265.143954,1092.307575,3231.301352,1058.333149,3000.0,231.301352,2.775616,1.655902,0.018012,0.484149,48.038348,0.317817,1e-05,1.68657,1.0,0.0,1.0,0.0,0.145046,0.001598,-0.038257,47.942403,0.0,1e-06,0.224641,1.0,0.0
