PC_Timestamp,Seq_Num,Packet_Type,time_ms,engine_count,gear_count,engine_rpm,secondary_rpm,filtered_engine_rpm,filtered_secondary_rpm,target_rpm,engine_rpm_error,ecvt_velocity_command,ecvt_velocity,ecvt_pos,ecvt_iq,ecvt_bus_voltage,ecvt_bus_current,ecvt_total_charge_used,ecvt_total_power_used,ecvt_inbound_limit_switch,ecvt_outbound_limit_switch,ecvt_engage_limit_switch,centerlock_velocity_command,centerlock_velocity,centerlock_pos,centerlock_iq,centerlock_bus_voltage,centerlock_bus_current,centerlock_total_charge_used,centerlock_total_power_used,centerlock_inbound_limit_switch,centerlock_outbound_limit_switch
1783468538.537979,0,1,0.0,0.0,0.0,3011.704619,1093.972984,3199.170462,989.117839,3000.0,199.170462,2.748552,2.487401,0.151866,0.770539,47.969304,0.243984,1e-06,0.117037,0.0,0.0,0.0,0.0,-0.210319,0.0,0.0,48.04736,0.009891,0.0,0.004752,1.0,0.0
1783468538.547979,1,1,10.0,11.857033,8.863135,2964.258347,1063.576147,3175.67925,995.074503,3000.0,175.67925,2.424374,2.424161,0.153684,0.398946,47.979757,0.267458,1e-06,0.245363,0.0,0.0,0.0,0.0,0.278118,0.000278,0.065678,47.979743,0.0,0.0,0.004752,1.0,0.0
1783468538.557979,2,1,20.0,23.69304,18.069239,2961.630005,1084.154312,3154.274326,1002.200888,3000.0,154.274326,2.128986,1.757364,0.155002,0.613649,48.034687,0.268035,2e-06,0.374113,0.0,0.0,0.0,0.0,-0.224093,5.4e-05,0.0,48.000393,0.013177,0.0,0.011077,1.0,0.0
1783468538.567979,3,1,30.0,35.708752,27.47886,2975.729351,1099.154394,3136.419829,1009.957169,3000.0,136.419829,1.882594,0.723148,0.155544,0.401775,47.96434,0.20942,3e-06,0.47456,0.0,0.0,0.0,0.0,0.111195,0.000165,0.0,48.014116,0.038569,0.0,0.029596,1.0,0.0
1783468538.577979,4,1,40.0,47.691407,35.535091,2980.712937,1066.052718,3120.849139,1014.444813,3000.0,120.849139,1.667718,0.847714,0.15618,0.320753,47.960258,0.075358,3e-06,0.510701,0.0,0.0,0.0,0.0,0.142719,0.000308,0.0,47.90458,0.013589,0.0,0.036106,1.0,0.0
1783468538.587979,5,1,50.0,59.329226,45.269752,2966.461288,1086.474053,3105.410354,1020.207152,3000.0,105.410354,1.454663,1.597061,0.157378,0.186172,47.950571,0.197712,4e-06,0.605506,0.0,0.0,0.0,0.0,-0.394662,0.0,0.0,47.964645,0.0,0.0,0.036106,1.0,0.0
1783468538.597979,6,1,60.0,73.111262,53.827648,3046.302589,1076.552968,3099.499578,1024.714817,3000.0,99.499578,1.373094,0.219374,0.157542,0.470513,48.02496,0.126735,4e-06,0.66637,0.0,0.0,0.0,0.0,0.390494,0.00039,0.043422,48.029185,0.0,0.0,0.036106,1.0,0.0
1783468538.607979,7,1,70.0,84.350104,64.435269,3012.503722,1104.604619,3090.799992,1031.106001,3000.0,90.799992,1.25304,1.26711,0.158492,0.24514,47.946368,0.149035,4e-06,0.737827,0.0,0.0,0.0,0.0,0.041535,0.000432,0.050896,48.028493,0.026821,0.0,0.048988,1.0,0.0
1783468538.617979,8,1,80.0,96.614042,72.492733,3019.188823,1087.390989,3083.638875,1035.6088,3000.0,83.638875,1.154216,0.70334,0.15902,0.297848,48.019285,0.134828,5e-06,0.80257,0.0,0.0,0.0,0.0,-0.167264,0.000265,0.02162,47.994376,0.0,0.0,0.048988,1.0,0.0
1783468538.627979,9,1,90.0,108.799944,81.882183,3022.220677,1091.762433,3077.497055,1040.101091,3000.0,77.497055,1.069459,0.617667,0.159483,0.424573,48.016248,0.160317,5e-06,0.879548,0.0,0.0,0.0,0.0,0.144333,0.000409,0.0,47.925205,0.013523,0.0,0.055469,1.0,0.0
