PC_Timestamp,Seq_Num,Packet_Type,time_ms,engine_count,gear_count,engine_rpm,secondary_rpm,filtered_engine_rpm,filtered_secondary_rpm,target_rpm,engine_rpm_error,ecvt_velocity_command,ecvt_velocity,ecvt_pos,ecvt_iq,ecvt_bus_voltage,ecvt_bus_current,ecvt_total_charge_used,ecvt_total_power_used,ecvt_inbound_limit_switch,ecvt_outbound_limit_switch,ecvt_engage_limit_switch,centerlock_velocity_command,centerlock_velocity,centerlock_pos,centerlock_iq,centerlock_bus_voltage,centerlock_bus_current,centerlock_total_charge_used,centerlock_total_power_used,centerlock_inbound_limit_switch,centerlock_outbound_limit_switch
1783468539.663669,0,1,0.0,0.0,0.0,2694.962919,919.465204,2807.496292,846.357216,3000.0,-192.503708,-1.963538,-1.674174,0.148744,0.240175,48.003527,0.216021,1e-06,0.103698,0.0,0.0,0.0,0.0,-0.08961,0.0,0.0,47.937974,0.042476,0.0,0.020362,1.0,0.0
1783468539.673669,1,1,10.0,10.706697,7.637772,2676.674151,916.532606,2794.414078,851.971247,3000.0,-205.585922,-2.096976,-1.358068,0.147726,0.503391,48.004532,0.199829,1e-06,0.199625,0.0,0.0,0.0,0.0,0.016273,1.6e-05,0.023526,48.03386,0.026251,0.0,0.032971,1.0,0.0
1783468539.683669,2,1,20.0,21.46224,15.631039,2682.779982,937.862362,2783.250668,858.842537,3000.0,-216.749332,-2.210843,-1.800492,0.146375,0.295179,47.940149,0.26577,2e-06,0.327035,0.0,0.0,0.0,0.0,-0.37005,0.0,0.0,48.00027,0.028794,0.0,0.046793,1.0,0.0
1783468539.693669,3,1,30.0,31.330997,22.617543,2610.916457,904.701718,2766.017247,862.511271,3000.0,-233.982753,-2.386624,-2.23742,0.144697,0.432886,48.000747,0.279304,3e-06,0.461103,0.0,0.0,0.0,0.0,0.137546,0.000138,0.143172,48.0642,0.0,0.0,0.046793,1.0,0.0
1783468539.703669,4,1,40.0,42.112861,30.64788,2632.053811,919.436401,2752.620904,867.065282,3000.0,-247.379096,-2.523267,-2.116684,0.14311,0.686843,48.026739,0.293681,3e-06,0.602149,0.0,0.0,0.0,0.0,-0.001715,0.000136,0.022946,48.015777,0.0,0.0,0.046793,1.0,0.0
1783468539.713669,5,1,50.0,54.007166,37.564574,2700.358285,901.549785,2747.394642,869.824042,3000.0,-252.605358,-2.576575,-1.572014,0.141931,0.640978,48.119273,0.253833,4e-06,0.724292,0.0,0.0,0.0,0.0,-0.348671,0.0,0.0,47.991469,0.0,0.0,0.046793,1.0,0.0
1783468539.723669,6,1,60.0,63.551887,45.915765,2647.995279,918.315301,2737.454705,873.703343,3000.0,-262.545295,-2.677962,-2.743196,0.139873,0.726175,47.939376,0.296364,5e-06,0.866367,0.0,0.0,0.0,0.0,0.219249,0.000219,0.021447,48.055477,0.011929,0.0,0.052525,1.0,0.0
1783468539.733669,7,1,70.0,76.06592,53.14849,2716.640007,911.116966,2735.373236,876.696432,3000.0,-264.626764,-2.699193,-2.681214,0.137863,0.526922,48.007386,0.318897,6e-06,1.019461,0.0,0.0,0.0,0.0,-0.279353,0.0,0.0,47.96677,0.023385,0.0,0.063742,1.0,0.0
1783468539.743669,8,1,80.0,85.629187,62.918774,2675.912085,943.781607,2729.42712,882.063246,3000.0,-270.57288,-2.759843,-2.332566,0.136113,0.511579,47.971624,0.186762,6e-06,1.109054,0.0,0.0,0.0,0.0,-0.600754,0.0,0.0,47.967203,0.062701,1e-06,0.093819,1.0,0.0
1783468539.753669,9,1,90.0,97.568523,70.526236,2710.236748,940.349809,2727.508083,886.726171,3000.0,-272.491917,-2.779418,-2.120711,0.134523,0.58327,47.941896,0.211226,7e-06,1.210319,0.0,0.0,0.0,0.0,0.312694,0.000313,0.0,47.979688,0.022248,1e-06,0.104493,1.0,0.0
1783468539.763669,10,1,100.0,107.790213,76.887656,2694.755324,922.651872,2724.232807,889.600228,3000.0,-275.767193,-2.812825,-1.278788,0.133564,0.662419,47.986479,0.259951,8e-06,1.335061,0.0,0.0,0.0,0.0,-0.16382,0.000149,0.017881,48.022379,0.0,1e-06,0.104493,1.0,0.0
1783468539.773669,11,1,110.0,118.725008,82.632511,2698.295626,901.445573,2721.639089,890.547855,3000.0,-278.360911,-2.839281,-2.358256,0.131795,0.707704,47.963398,0.277247,8e-06,1.468038,0.0,0.0,0.0,0.0,-0.162988,0.0,0.0,48.011529,0.0,1e-06,0.104493,1.0,0.0
1783468539.783669,12,1,120.0,131.713486,94.884314,2744.030967,948.843143,2723.878277,895.211478,3000.0,-276.121723,-2.816442,-1.659124,0.13055,0.508438,47.926134,0.252443,9e-06,1.589024,0.0,0.0,0.0,0.0,0.027454,2.7e-05,0.0,47.992192,0.000454,1e-06,0.104711,1.0,0.0
1783468539.793669,13,1,130.0,140.539968,101.701127,2702.691701,938.779636,2721.759619,898.696931,3000.0,-278.240381,-2.838052,-2.870661,0.128397,0.667735,48.024034,0.253986,1e-05,1.710998,0.0,0.0,0.0,0.0,0.818265,0.000846,0.013738,48.010137,0.0,1e-06,0.104711,1.0,0.0
1783468539.803669,14,1,140.0,152.607155,108.774385,2725.127769,932.351867,2722.096434,901.389326,3000.0,-277.903566,-2.834616,-1.705171,0.127119,0.564366,48.049029,0.216064,1.1e-05,1.814815,0.0,0.0,0.0,0.0,0.002764,0.000848,0.0,47.999362,0.022546,1e-06,0.115532,1.0,0.0
1783468539.813669,15,1,150.0,160.46904,117.558207,2674.484003,940.465657,2717.335191,904.515432,3000.0,-282.664809,-2.883181,-2.04104,0.125588,0.440072,47.964754,0.261049,1.1e-05,1.940026,0.0,0.0,0.0,0.0,0.111905,0.00096,0.069612,47.972631,0.0,1e-06,0.115532,1.0,0.0
1783468539.823669,16,1,160.0,173.623993,118.103708,2712.874898,885.777809,2716.889162,903.016422,3000.0,-283.110838,-2.887731,-2.051508,0.124049,0.615471,47.992174,0.355768,1.2e-05,2.110767,0.0,0.0,0.0,0.0,-0.066557,0.000894,0.0,48.040322,0.0,1e-06,0.115532,1.0,0.0
1783468539.833669,17,1,170.0,185.610685,131.052458,2729.568901,925.076172,2718.157136,904.781202,3000.0,-281.842864,-2.874797,-2.25979,0.122354,0.657616,48.017735,0.228746,1.3e-05,2.220605,0.0,0.0,0.0,0.0,0.287469,0.001181,0.0,47.982943,0.025102,1e-06,0.127577,1.0,0.0
1783468539.843669,18,1,180.0,195.702337,140.7364,2718.08801,938.242668,2718.150223,907.45812,3000.0,-281.849777,-2.874868,-1.734747,0.121053,0.741485,47.988483,0.338098,1.4e-05,2.382854,0.0,0.0,0.0,0.0,-0.044676,0.001137,0.0,47.967135,0.009805,1e-06,0.13228,1.0,0.0
1783468539.853669,19,1,190.0,206.394286,150.784778,2715.714296,952.324917,2717.90663,911.047463,3000.0,-282.09337,-2.877352,-1.874121,0.119648,0.703345,48.051906,0.335117,1.5e-05,2.543884,0.0,0.0,0.0,0.0,-0.168926,0.000968,0.123678,47.941441,0.004786,1e-06,0.134575,1.0,0.0
1783468539.863669,20,1,200.0,214.734703,154.523046,2684.183788,927.138273,2714.534346,912.334728,3000.0,-285.465654,-2.91175,-2.467438,0.117797,0.476963,48.027968,0.296708,1.6e-05,2.686387,0.0,0.0,0.0,0.0,0.00131,0.000969,0.0,48.056182,0.0,1e-06,0.134575,1.0,0.0
1783468539.873669,21,1,210.0,232.218675,158.941962,2764.508033,908.239782,2719.531715,912.007132,3000.0,-280.468285,-2.860777,-1.590022,0.116605,0.588993,48.045535,0.265982,1.6e-05,2.814179,0.0,0.0,0.0,0.0,-0.011601,0.000957,0.024018,47.998645,0.063584,1e-06,0.165094,1.0,0.0
1783468539.883669,22,1,220.0,241.196719,170.193273,2740.871805,928.326943,2721.665724,913.312717,3000.0,-278.334276,-2.83901,-1.722098,0.115313,0.647792,47.970527,0.270855,1.7e-05,2.94411,0.0,0.0,0.0,0.0,0.170055,0.001127,0.00482,48.046003,0.0,1e-06,0.165094,1.0,0.0
